zip_code,city,zillow_county,pop_total,qol_score,qol_rank,score_economic_security,score_housing_affordability,score_education,score_health_environment,score_flood_climate_risk,score_mobility
08534,Pennington,Mercer County,13174,92.77946663022595,14,85.5642063181085,85.01404165036003,79.04750922509224,91.6184961056018,88.86062119556733,60.16332311318965
07641,Haworth,Bergen County,3321,92.36025995537614,15,91.50491852241917,83.66730826632234,76.40682656826567,90.23824747959017,82.96912751677853,42.99164160337766
07028,Glen Ridge,Essex County,8002,92.2941416139315,16,89.49387741925854,81.14292347168049,91.47832103321034,93.16874152795133,52.919463087248324,66.29029921396487
08515,Chesterfield Township,Burlington County,8167,91.13677280569567,17,87.56348795505004,87.54691842273752,73.76614391143912,84.15966075805115,94.67785234899327,40.74285892319255
07620,Alpine,Bergen County,1503,91.10120266894872,18,85.58606938189098,76.60226425746846,89.32195571955718,94.66894645371586,99.99999999999999,32.74978529114837
07043,Montclair,Essex County,13502,90.68509328779126,19,89.23553329285878,80.03004642346144,93.53090405904058,95.84608514069116,36.21249506514015,56.331723634698896
07924,Bernardsville,Somerset County,7756,90.36935296887043,20,92.45265432783964,88.03025178025044,76.19926199261992,85.8421819816225,47.350797430901345,48.335388216375925
07418,Glenwood,Sussex County,2523,89.70646121524135,21,88.21053916132367,99.73889903084681,52.64068265682656,72.90387637405581,99.99999999999999,25.687106170442565
07922,Berkeley Heights,Union County,11971,89.67547784033488,22,85.30094407395478,87.46385058595372,80.31595940959409,92.3250667195831,49.99520613614573,43.52935003895046
07039,Livingston,Essex County,31128,89.47285840536787,23,88.8607632887815,79.7789227909032,80.32749077490774,93.20309438663814,64.21934518411028,51.20083846885303
07045,Montville,Morris County,10206,89.20095248417677,24,82.79290990015632,83.82624673619348,74.0890221402214,92.62166580117886,89.66573271649182,38.52570835039802
08536,Plainsboro,Middlesex County,20558,89.04735937352861,25,75.34847172026298,83.7220907041853,87.4769372693727,92.83828402758772,88.49265372755305,52.505652999336206
07041,Millburn,Essex County,7610,88.64521538654108,26,82.82256183734367,74.58158291094809,89.94464944649447,95.44849650326155,81.48818208345492,56.78597695486104
07058,Pine Brook,Morris County,5933,88.13680415343812,27,78.51395530797629,85.12813585622212,69.52260147601476,91.67830799436665,98.35609338965044,48.8695432134182
07670,Tenafly,Bergen County,15252,88.02141286955737,28,79.57008234577312,81.23821127127542,87.46540590405903,94.27636726247098,75.18507843702392,36.87894201530519
08558,Skillman,Somerset County,7236,87.91473155039637,29,90.86685769633145,69.28060008781438,86.45064575645755,93.07055261511171,87.12383632820956,41.31333784058126
07417,Franklin Lakes,Bergen County,11035,87.64182951291818,30,93.3873873562168,71.09102483025889,87.05027675276752,92.742204353487,61.98465963566635,43.46566622466817
